DeployID,Ptt,DepthSensor,Source,Instr,HistType,Date,Time Offset,Count,BadTherm,LocationQuality,Latitude,Longitude,NumBins,Sum,Bin1,Bin2,Bin3,Bin4,Bin5,Bin6,Bin7,Bin8,Bin9,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,Bin24,Bin25,Bin26,Bin27,Bin28,Bin29,Bin30,Bin31,Bin32,Bin33,Bin34,Bin35,Bin36,Bin37,Bin38,Bin39,Bin40,Bin41,Bin42,Bin43,Bin44,Bin45,Bin46,Bin47,Bin48,Bin49,Bin50,Bin51,Bin52,Bin53,Bin54,Bin55,Bin56,Bin57,Bin58,Bin59,Bin60,Bin61,Bin62,Bin63,Bin64,Bin65,Bin66,Bin67,Bin68,Bin69,Bin70,Bin71,Bin72
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,02:00:00 22-Sep-2016,3.000000,7,,,,,24,,,,40,10,10,40,98,100,100,100,100,100,30,3,3,3,3,3,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 23-Sep-2016,3.000000,3,,,,,24,,3,0,3,3,3,3,3,3,3,3,3,10,3,40,3,3,3,3,10,10,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 24-Sep-2016,3.000000,4,,,,,24,,3,3,10,3,3,3,3,3,3,10,3,3,0,0,0,3,10,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 25-Sep-2016,3.000000,3,,,,,24,,0,0,3,0,3,3,0,3,3,3,3,0,3,3,3,3,0,0,0,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 26-Sep-2016,4.000000,2,,,,,24,,0,0,0,3,0,0,0,3,3,3,3,3,3,20,3,0,10,20,100,98,100,98,98,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 28-Sep-2016,4.000000,3,,,,,24,,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 30-Sep-2016,4.000000,2,,,,,24,,3,30,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,50,50,90,100,100,40,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 03-Oct-2016,4.000000,3,,,,,24,,0,3,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 04-Oct-2016,5.000000,6,,,,,24,,3,3,3,3,0,3,3,3,3,0,0,3,3,0,0,0,0,0,0,0,3,3,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 05-Oct-2016,5.000000,2,,,,,24,,3,3,10,10,3,10,3,30,3,3,3,10,3,0,0,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 07-Oct-2016,5.000000,2,,,,,24,,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 08-Oct-2016,5.000000,1,,,,,24,,3,0,0,0,0,3,0,0,0,0,3,0,0,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 09-Oct-2016,5.000000,3,,,,,24,,3,3,3,10,90,40,10,10,10,3,3,3,3,20,100,100,100,70,10,10,60,100,30,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 10-Oct-2016,5.000000,1,,,,,24,,3,3,3,20,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 11-Oct-2016,6.000000,1,,,,,24,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 12-Oct-2016,6.000000,1,,,,,24,,98,100,100,100,100,100,100,100,100,100,100,50,10,10,30,10,3,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 13-Oct-2016,6.000000,1,,,,,24,,10,100,100,100,100,100,100,100,100,100,100,100,40,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 14-Oct-2016,6.000000,2,,,,,24,,0,0,0,0,0,0,0,0,0,50,80,98,10,80,80,100,100,100,100,100,100,100,98,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 15-Oct-2016,6.000000,3,,,,,24,,100,100,100,90,100,80,20,30,10,10,3,0,0,0,0,0,0,0,0,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 16-Oct-2016,6.000000,1,,,,,24,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 17-Oct-2016,6.000000,1,,,,,24,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,10,10,10,40,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 18-Oct-2016,6.000000,1,,,,,24,,100,100,100,100,100,98,20,10,10,10,10,3,10,3,30,98,100,100,100,100,98,100,100,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 19-Oct-2016,7.000000,1,,,,,24,,10,3,10,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 20-Oct-2016,7.000000,2,,,,,24,,3,3,3,3,3,3,0,3,3,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 22-Oct-2016,7.000000,1,,,,,24,,0,0,0,0,0,0,0,0,3,3,0,3,3,3,0,0,0,3,3,3,3,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 23-Oct-2016,7.000000,1,,,,,24,,3,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 24-Oct-2016,7.000000,1,,,,,24,,70,60,3,10,3,3,10,3,3,10,3,10,3,3,3,3,3,3,3,3,3,3,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 25-Oct-2016,7.000000,2,,,,,24,,10,3,3,3,10,3,3,3,20,3,3,3,3,3,3,0,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 26-Oct-2016,7.000000,1,,,,,24,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0,0,0,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 30-Oct-2016,8.000000,1,,,,,24,,98,98,100,100,100,100,50,20,10,20,98,100,80,20,30,80,20,10,10,80,100,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 02-Nov-2016,8.000000,3,,,,,24,,3,0,3,3,3,3,0,0,3,3,3,3,3,0,3,0,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 05-Nov-2016,9.000000,1,,,,,24,,3,3,3,3,3,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 06-Nov-2016,9.000000,2,,,,,24,,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,3,3,3,3,3,3,3,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 07-Nov-2016,9.000000,2,,,,,24,,50,98,100,100,100,100,100,100,100,100,100,100,80,10,3,3,3,30,10,60,60,30,98,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 08-Nov-2016,9.000000,3,,,,,24,,98,90,98,100,98,10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 09-Nov-2016,9.000000,1,,,,,24,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 10-Nov-2016,9.000000,4,,,,,24,,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,10,50,98,30,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 11-Nov-2016,10.000000,2,,,,,24,,20,10,10,10,3,3,3,3,3,3,3,3,10,30,80,100,100,100,100,100,98,70,30,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 12-Nov-2016,10.000000,3,,,,,24,,80,100,20,10,3,10,10,3,10,20,10,10,10,10,3,10,3,3,3,3,0,3,3,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 13-Nov-2016,10.000000,1,,,,,24,,100,100,100,100,70,20,3,0,0,0,0,0,0,0,0,0,0,30,10,20,10,10,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 15-Nov-2016,10.000000,4,,,,,24,,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,3,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 16-Nov-2016,10.000000,2,,,,,24,,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,10,3,3,3,3,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 17-Nov-2016,10.000000,2,,,,,24,,40,10,10,10,3,3,3,3,3,10,10,10,10,3,10,10,3,50,90,40,90,98,98,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 18-Nov-2016,11.000000,1,,,,,24,,100,98,98,70,90,3,3,3,3,3,0,3,3,3,3,10,3,3,10,10,40,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 19-Nov-2016,11.000000,4,,,,,24,,100,100,100,100,98,98,98,80,3,10,3,0,0,0,0,0,0,0,0,0,60,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 20-Nov-2016,11.000000,3,,,,,24,,100,100,98,100,100,98,50,10,3,3,0,0,0,0,0,0,0,0,3,98,98,100,100,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 21-Nov-2016,11.000000,2,,,,,24,,100,100,10,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,30,10,50,30,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 22-Nov-2016,11.000000,2,,,,,24,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 23-Nov-2016,11.000000,4,,,,,24,,3,3,3,3,3,0,0,0,0,0,0,0,3,3,3,3,3,3,20,60,10,3,60,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PV2016_3024_15A0909,160941,,Transmission,Mk10,Percent,00:00:00 24-Nov-2016,11.000000,2,,,,,24,,100,100,100,70,3,3,3,3,3,3,3,3,3,3,3,3,3,3,10,10,20,50,20,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
