DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
PV2016_3024_15A0909,160941,Mk10,03:08:48 22-Sep-2016,Argos,B,52.7370,173.9152,,,,,,,,,,
PV2016_3024_15A0909,160941,Mk10,03:38:04 22-Sep-2016,Argos,A,52.7439,173.9186,217,454,103,105,,,,,,
PV2016_3024_15A0909,160941,Mk10,04:00:45 22-Sep-2016,Argos,1,52.7489,173.9338,655,2375,180,113,,,,,,
PV2016_3024_15A0909,160941,Mk10,04:47:41 22-Sep-2016,Argos,3,52.7403,173.9141,189,628,56,62,,,,,,
PV2016_3024_15A0909,160941,Mk10,05:17:13 22-Sep-2016,Argos,2,52.7500,173.9153,272,2336,31,78,,,,,,
PV2016_3024_15A0909,160941,Mk10,05:40:38 22-Sep-2016,Argos,1,52.7458,173.9069,850,3493,206,69,,,,,,
PV2016_3024_15A0909,160941,Mk10,06:35:42 22-Sep-2016,Argos,B,52.7492,173.9077,3067,5343,1760,91,,,,,,
PV2016_3024_15A0909,160941,Mk10,06:55:25 22-Sep-2016,Argos,B,52.7471,173.9058,1761,3293,941,85,,,,,,
PV2016_3024_15A0909,160941,Mk10,07:16:39 22-Sep-2016,Argos,B,52.7519,173.9094,3034,6088,1512,96,,,,,,
PV2016_3024_15A0909,160941,Mk10,07:45:28 22-Sep-2016,Argos,B,52.7506,173.9095,2796,6778,1153,94,,,,,,
PV2016_3024_15A0909,160941,Mk10,06:33:50 23-Sep-2016,Argos,B,52.7833,173.8959,4094,13350,1255,103,,,,,,
PV2016_3024_15A0909,160941,Mk10,09:56:56 23-Sep-2016,Argos,B,52.7893,173.8464,3698,7314,1869,113,,,,,,
PV2016_3024_15A0909,160941,Mk10,14:29:41 23-Sep-2016,Argos,B,52.7709,173.8366,3172,10220,984,91,,,,,,
PV2016_3024_15A0909,160941,Mk10,16:08:53 23-Sep-2016,Argos,A,52.7503,173.9147,390,6518,23,101,,,,,,
PV2016_3024_15A0909,160941,Mk10,17:01:28 23-Sep-2016,Argos,B,52.7484,173.9222,1050,2017,546,93,,,,,,
PV2016_3024_15A0909,160941,Mk10,17:45:30 23-Sep-2016,Argos,2,52.7512,173.9134,283,420,189,87,,,,,,
PV2016_3024_15A0909,160941,Mk10,18:09:41 23-Sep-2016,Argos,3,52.7523,173.9127,188,561,62,87,,,,,,
PV2016_3024_15A0909,160941,Mk10,18:35:26 23-Sep-2016,Argos,A,52.7534,173.8991,406,2978,55,100,,,,,,
PV2016_3024_15A0909,160941,Mk10,18:36:42 23-Sep-2016,Argos,A,52.7544,173.9101,146,295,72,81,,,,,,
PV2016_3024_15A0909,160941,Mk10,19:49:14 23-Sep-2016,Argos,B,52.7534,173.9104,1144,1995,655,88,,,,,,
PV2016_3024_15A0909,160941,Mk10,21:14:23 23-Sep-2016,Argos,B,52.7683,173.9354,1115,7596,163,101,,,,,,
PV2016_3024_15A0909,160941,Mk10,22:06:02 23-Sep-2016,Argos,B,52.7701,173.9432,1493,4104,543,98,,,,,,
PV2016_3024_15A0909,160941,Mk10,22:53:57 23-Sep-2016,Argos,A,52.7617,173.9017,3635,41043,322,113,,,,,,
PV2016_3024_15A0909,160941,Mk10,02:01:32 24-Sep-2016,Argos,B,52.7517,173.9000,2329,41418,131,111,,,,,,
PV2016_3024_15A0909,160941,Mk10,02:48:40 24-Sep-2016,Argos,0,52.8778,173.4250,12004,24161,5963,122,,,,,,Lon > 4 deviations from mean
PV2016_3024_15A0909,160941,Mk10,02:48:53 24-Sep-2016,Argos,0,52.8856,173.5615,15327,33954,6918,127,,,,,,Lat > 4 deviations from mean
PV2016_3024_15A0909,160941,Mk10,06:03:19 24-Sep-2016,Argos,B,52.7022,173.8115,53697,188534,15293,65,,,,,,
PV2016_3024_15A0909,160941,Mk10,06:03:47 24-Sep-2016,Argos,1,52.7482,173.9044,1153,16383,81,78,,,,,,
PV2016_3024_15A0909,160941,Mk10,06:19:21 24-Sep-2016,Argos,B,52.7080,173.8366,46616,122059,17802,68,,,,,,
PV2016_3024_15A0909,160941,Mk10,08:00:02 24-Sep-2016,Argos,B,52.6833,173.8853,12676,22312,7201,75,,,,,,
PV2016_3024_15A0909,160941,Mk10,08:48:09 24-Sep-2016,Argos,B,52.7309,173.8474,3313,58379,188,69,,,,,,
PV2016_3024_15A0909,160941,Mk10,16:01:16 24-Sep-2016,Argos,A,52.7190,173.8438,282,694,114,106,,,,,,
PV2016_3024_15A0909,160941,Mk10,16:04:45 24-Sep-2016,Argos,A,52.7097,173.8384,772,2033,293,101,,,,,,
PV2016_3024_15A0909,160941,Mk10,15:46:05 25-Sep-2016,Argos,B,52.6846,173.8303,18142,130482,2522,96,,,,,,
PV2016_3024_15A0909,160941,Mk10,08:35:34 26-Sep-2016,Argos,B,52.7011,173.9694,22499,94137,5377,92,,,,,,
PV2016_3024_15A0909,160941,Mk10,08:51:26 26-Sep-2016,Argos,B,52.7195,173.9169,19529,134736,2830,91,,,,,,
PV2016_3024_15A0909,160941,Mk10,16:37:41 26-Sep-2016,Argos,2,52.7506,173.8928,370,1222,111,89,,,,,,
PV2016_3024_15A0909,160941,Mk10,17:13:21 26-Sep-2016,Argos,A,52.7490,173.9003,398,981,161,31,,,,,,
PV2016_3024_15A0909,160941,Mk10,17:27:59 26-Sep-2016,Argos,B,52.7490,173.9017,588,864,400,83,,,,,,
PV2016_3024_15A0909,160941,Mk10,18:03:43 26-Sep-2016,Argos,B,52.7484,173.9057,720,3814,135,73,,,,,,
PV2016_3024_15A0909,160941,Mk10,18:15:51 26-Sep-2016,Argos,3,52.7484,173.8979,157,606,40,95,,,,,,
PV2016_3024_15A0909,160941,Mk10,19:05:09 26-Sep-2016,Argos,B,52.7475,173.8900,700,6740,72,95,,,,,,
PV2016_3024_15A0909,160941,Mk10,19:41:35 26-Sep-2016,Argos,B,52.7229,173.8916,1198,2264,633,93,,,,,,
PV2016_3024_15A0909,160941,Mk10,01:23:20 27-Sep-2016,Argos,2,52.7521,173.8987,371,820,167,82,,,,,,
PV2016_3024_15A0909,160941,Mk10,04:05:02 29-Sep-2016,Argos,3,52.7553,173.8947,239,894,63,90,,,,,,
PV2016_3024_15A0909,160941,Mk10,04:21:30 29-Sep-2016,Argos,2,52.7464,173.8864,487,1269,186,123,,,,,,
PV2016_3024_15A0909,160941,Mk10,05:11:33 29-Sep-2016,Argos,3,52.7504,173.8930,149,374,59,62,,,,,,
PV2016_3024_15A0909,160941,Mk10,05:41:53 29-Sep-2016,Argos,B,52.7505,173.8950,550,8970,33,84,,,,,,
PV2016_3024_15A0909,160941,Mk10,06:54:55 29-Sep-2016,Argos,B,52.7484,173.8967,1330,2280,775,91,,,,,,
PV2016_3024_15A0909,160941,Mk10,06:57:11 29-Sep-2016,Argos,B,52.7371,173.8950,1019,7193,144,91,,,,,,
PV2016_3024_15A0909,160941,Mk10,08:35:56 29-Sep-2016,Argos,3,52.7509,173.9035,211,729,60,78,,,,,,
PV2016_3024_15A0909,160941,Mk10,08:39:59 29-Sep-2016,Argos,A,52.7531,173.9007,233,427,126,101,,,,,,
PV2016_3024_15A0909,160941,Mk10,09:36:20 29-Sep-2016,Argos,B,52.7523,173.9037,925,2004,427,87,,,,,,
PV2016_3024_15A0909,160941,Mk10,15:08:28 29-Sep-2016,Argos,B,52.7511,173.9148,2475,3648,1679,86,,,,,,
PV2016_3024_15A0909,160941,Mk10,16:45:48 29-Sep-2016,Argos,B,52.7505,173.9124,1906,80743,45,87,,,,,,
PV2016_3024_15A0909,160941,Mk10,16:46:53 29-Sep-2016,Argos,B,52.7506,173.9134,1434,26952,76,87,,,,,,
PV2016_3024_15A0909,160941,Mk10,17:24:08 29-Sep-2016,Argos,1,52.7688,173.9110,687,912,516,41,,,,,,
PV2016_3024_15A0909,160941,Mk10,17:45:55 29-Sep-2016,Argos,3,52.7524,173.8958,214,367,124,75,,,,,,
PV2016_3024_15A0909,160941,Mk10,02:30:03 30-Sep-2016,Argos,B,52.7775,173.9353,5248,82161,335,75,,,,,,
PV2016_3024_15A0909,160941,Mk10,04:56:10 30-Sep-2016,Argos,B,52.7943,173.9402,5833,18142,1875,79,,,,,,
PV2016_3024_15A0909,160941,Mk10,05:17:24 30-Sep-2016,Argos,3,52.7520,173.9141,155,651,37,75,,,,,,
PV2016_3024_15A0909,160941,Mk10,06:39:18 30-Sep-2016,Argos,B,52.7610,173.9173,1181,2084,668,84,,,,,,
PV2016_3024_15A0909,160941,Mk10,06:51:26 30-Sep-2016,Argos,3,52.7520,173.9137,151,418,54,107,,,,,,
PV2016_3024_15A0909,160941,Mk10,09:15:53 30-Sep-2016,Argos,B,52.7508,173.8944,1356,15031,122,100,,,,,,
PV2016_3024_15A0909,160941,Mk10,09:59:52 30-Sep-2016,Argos,B,52.7536,173.8954,1628,5761,459,99,,,,,,
PV2016_3024_15A0909,160941,Mk10,02:23:28 01-Oct-2016,Argos,A,52.7506,173.9160,633,8221,48,76,,,,,,
PV2016_3024_15A0909,160941,Mk10,04:03:05 01-Oct-2016,Argos,A,52.7556,173.9075,420,844,208,157,,,,,,
PV2016_3024_15A0909,160941,Mk10,04:44:02 01-Oct-2016,Argos,A,52.7505,173.9154,269,1471,49,66,,,,,,
PV2016_3024_15A0909,160941,Mk10,04:53:08 01-Oct-2016,Argos,3,52.7506,173.9138,125,296,52,71,,,,,,
PV2016_3024_15A0909,160941,Mk10,04:53:08 01-Oct-2016,Argos,3,52.7506,173.9138,125,296,52,71,,,,,,
PV2016_3024_15A0909,160941,Mk10,06:25:39 01-Oct-2016,Argos,B,52.7512,173.9160,1308,2142,798,88,,,,,,
PV2016_3024_15A0909,160941,Mk10,08:00:21 01-Oct-2016,Argos,2,52.7575,173.9269,448,1848,108,88,,,,,,
PV2016_3024_15A0909,160941,Mk10,08:10:46 01-Oct-2016,Argos,B,52.7088,173.8956,1815,3328,990,92,,,,,,
PV2016_3024_15A0909,160941,Mk10,08:48:50 01-Oct-2016,Argos,0,52.7537,173.9099,3332,100184,110,83,,,,,,
PV2016_3024_15A0909,160941,Mk10,21:53:11 01-Oct-2016,Argos,2,52.7499,173.9106,334,888,125,87,,,,,,
PV2016_3024_15A0909,160941,Mk10,01:08:57 02-Oct-2016,Argos,B,52.7873,173.9238,9922,15193,6478,97,,,,,,
PV2016_3024_15A0909,160941,Mk10,02:07:02 02-Oct-2016,Argos,1,52.7522,173.9199,599,3469,103,77,,,,,,
PV2016_3024_15A0909,160941,Mk10,04:27:32 02-Oct-2016,Argos,2,52.7504,173.9171,381,831,174,55,,,,,,
PV2016_3024_15A0909,160941,Mk10,04:33:16 02-Oct-2016,Argos,2,52.7541,173.9076,479,878,261,112,,,,,,
PV2016_3024_15A0909,160941,Mk10,05:22:01 02-Oct-2016,Argos,B,52.7555,173.9107,4121,6777,2505,89,,,,,,
PV2016_3024_15A0909,160941,Mk10,06:02:46 02-Oct-2016,Argos,B,52.7553,173.9136,4764,7571,2998,82,,,,,,
PV2016_3024_15A0909,160941,Mk10,06:10:45 02-Oct-2016,Argos,2,52.7476,173.9043,315,988,100,81,,,,,,
PV2016_3024_15A0909,160941,Mk10,06:12:45 02-Oct-2016,Argos,B,52.7477,173.9045,539,970,299,87,,,,,,
PV2016_3024_15A0909,160941,Mk10,08:45:16 02-Oct-2016,Argos,B,52.7189,173.8626,1894,3705,967,103,,,,,,
PV2016_3024_15A0909,160941,Mk10,14:15:09 03-Oct-2016,Argos,B,52.7404,173.6773,2680,48033,149,26,,,,,,
PV2016_3024_15A0909,160941,Mk10,14:42:14 03-Oct-2016,Argos,B,52.7187,173.6677,1754,4360,705,35,,,,,,
PV2016_3024_15A0909,160941,Mk10,15:53:35 03-Oct-2016,Argos,B,52.7124,173.6625,1724,2749,1081,64,,,,,,
PV2016_3024_15A0909,160941,Mk10,16:21:16 03-Oct-2016,Argos,B,52.7173,173.6626,1618,3696,707,69,,,,,,
PV2016_3024_15A0909,160941,Mk10,19:36:28 03-Oct-2016,Argos,B,52.7151,173.6539,2427,4596,1281,80,,,,,,
PV2016_3024_15A0909,160941,Mk10,21:12:03 03-Oct-2016,Argos,B,52.7350,173.6648,2297,6498,812,90,,,,,,
PV2016_3024_15A0909,160941,Mk10,22:47:17 03-Oct-2016,Argos,B,52.7473,173.6806,2006,74127,54,106,,,,,,
PV2016_3024_15A0909,160941,Mk10,05:19:51 04-Oct-2016,Argos,B,52.7711,173.6947,2830,5613,1426,89,,,,,,
PV2016_3024_15A0909,160941,Mk10,22:25:57 04-Oct-2016,Argos,B,52.7915,173.9326,3414,26404,441,30,,,,,,
PV2016_3024_15A0909,160941,Mk10,01:31:27 05-Oct-2016,Argos,3,52.7460,173.9305,176,396,77,76,,,,,,
PV2016_3024_15A0909,160941,Mk10,04:02:55 05-Oct-2016,Argos,B,52.7561,173.9385,2364,49778,112,81,,,,,,
PV2016_3024_15A0909,160941,Mk10,04:54:32 05-Oct-2016,Argos,3,52.7501,173.9128,219,509,94,75,,,,,,
PV2016_3024_15A0909,160941,Mk10,04:58:19 05-Oct-2016,Argos,B,52.7489,173.9084,588,1044,330,85,,,,,,
PV2016_3024_15A0909,160941,Mk10,05:33:45 05-Oct-2016,Argos,2,52.7416,173.8952,380,805,179,19,,,,,,
PV2016_3024_15A0909,160941,Mk10,05:37:31 05-Oct-2016,Argos,3,52.7507,173.9072,250,1280,48,78,,,,,,
PV2016_3024_15A0909,160941,Mk10,06:42:56 05-Oct-2016,Argos,B,52.7508,173.9057,1512,2449,933,88,,,,,,
PV2016_3024_15A0909,160941,Mk10,08:17:28 05-Oct-2016,Argos,B,52.7524,173.9098,1221,23767,62,107,,,,,,
PV2016_3024_15A0909,160941,Mk10,08:53:53 05-Oct-2016,Argos,B,52.7512,173.9122,1164,3250,416,99,,,,,,
PV2016_3024_15A0909,160941,Mk10,15:31:10 05-Oct-2016,Argos,B,52.7453,173.9137,1981,77676,50,70,,,,,,
PV2016_3024_15A0909,160941,Mk10,16:53:12 05-Oct-2016,Argos,B,52.7057,173.8546,1369,21070,88,90,,,,,,
PV2016_3024_15A0909,160941,Mk10,16:59:23 05-Oct-2016,Argos,B,52.7053,173.8544,485,1244,188,102,,,,,,
PV2016_3024_15A0909,160941,Mk10,17:07:46 05-Oct-2016,Argos,B,52.7038,173.8496,1392,7677,252,90,,,,,,
PV2016_3024_15A0909,160941,Mk10,21:15:14 05-Oct-2016,Argos,B,52.6670,173.7802,2428,4694,1255,91,,,,,,
PV2016_3024_15A0909,160941,Mk10,22:11:22 05-Oct-2016,Argos,B,52.7010,173.8027,2067,56602,75,110,,,,,,
PV2016_3024_15A0909,160941,Mk10,01:27:18 06-Oct-2016,Argos,B,52.7040,173.7946,1863,92026,37,86,,,,,,
PV2016_3024_15A0909,160941,Mk10,02:48:57 06-Oct-2016,Argos,B,52.7105,173.7777,2049,7392,567,85,,,,,,
PV2016_3024_15A0909,160941,Mk10,06:21:09 06-Oct-2016,Argos,B,52.7202,173.7487,2736,5963,1255,85,,,,,,
PV2016_3024_15A0909,160941,Mk10,22:51:44 08-Oct-2016,Argos,B,52.7461,173.6735,5773,22600,1474,169,,,,,,
PV2016_3024_15A0909,160941,Mk10,02:26:36 09-Oct-2016,Argos,B,52.6776,173.6859,2694,140624,51,78,,,,,,
PV2016_3024_15A0909,160941,Mk10,04:08:23 09-Oct-2016,Argos,A,52.7418,173.8675,3891,45309,334,94,,,,,,
PV2016_3024_15A0909,160941,Mk10,04:52:25 09-Oct-2016,Argos,B,52.7659,173.8421,5795,23196,1447,91,,,,,,
PV2016_3024_15A0909,160941,Mk10,04:55:27 09-Oct-2016,Argos,B,52.7656,173.8515,3974,14708,1073,90,,,,,,
PV2016_3024_15A0909,160941,Mk10,06:34:34 09-Oct-2016,Argos,3,52.7505,173.9144,169,508,56,88,,,,,,
PV2016_3024_15A0909,160941,Mk10,06:38:44 09-Oct-2016,Argos,3,52.7503,173.9189,140,539,36,89,,,,,,
PV2016_3024_15A0909,160941,Mk10,06:49:09 09-Oct-2016,Argos,2,52.7523,173.9139,296,1191,73,96,,,,,,
PV2016_3024_15A0909,160941,Mk10,08:30:10 09-Oct-2016,Argos,2,52.7482,173.9063,275,1580,47,76,,,,,,
PV2016_3024_15A0909,160941,Mk10,08:30:55 09-Oct-2016,Argos,A,52.7496,173.9089,248,641,95,90,,,,,,
PV2016_3024_15A0909,160941,Mk10,09:34:44 09-Oct-2016,Argos,B,52.7513,173.9201,2007,3340,1206,89,,,,,,
PV2016_3024_15A0909,160941,Mk10,14:47:51 09-Oct-2016,Argos,B,52.6969,173.8468,1350,10638,171,53,,,,,,
PV2016_3024_15A0909,160941,Mk10,02:23:32 10-Oct-2016,Argos,B,52.6594,173.9153,3632,6832,1930,85,,,,,,
PV2016_3024_15A0909,160941,Mk10,02:48:17 10-Oct-2016,Argos,B,52.6666,173.8547,3868,8955,1671,80,,,,,,
PV2016_3024_15A0909,160941,Mk10,04:29:26 10-Oct-2016,Argos,A,52.7506,173.8875,1124,11471,110,89,,,,,,
PV2016_3024_15A0909,160941,Mk10,01:52:24 12-Oct-2016,Argos,1,52.7521,173.9177,516,1849,144,75,,,,,,
PV2016_3024_15A0909,160941,Mk10,05:55:21 12-Oct-2016,Argos,2,52.7507,173.9144,324,2002,52,86,,,,,,
PV2016_3024_15A0909,160941,Mk10,06:51:28 12-Oct-2016,Argos,2,52.7505,173.9154,316,2297,43,94,,,,,,
PV2016_3024_15A0909,160941,Mk10,06:56:01 12-Oct-2016,Argos,3,52.7515,173.9122,137,612,30,95,,,,,,
PV2016_3024_15A0909,160941,Mk10,09:10:36 12-Oct-2016,Argos,2,52.7527,173.9149,271,2146,34,84,,,,,,
PV2016_3024_15A0909,160941,Mk10,14:08:51 12-Oct-2016,Argos,2,52.7514,173.8935,350,399,305,72,,,,,,
PV2016_3024_15A0909,160941,Mk10,01:41:02 13-Oct-2016,Argos,1,52.7412,173.8730,712,2304,219,84,,,,,,
PV2016_3024_15A0909,160941,Mk10,04:48:37 13-Oct-2016,Argos,B,52.7592,173.8835,12226,20686,7225,91,,,,,,
PV2016_3024_15A0909,160941,Mk10,05:50:02 13-Oct-2016,Argos,B,52.7483,173.8926,7752,289181,207,76,,,,,,
PV2016_3024_15A0909,160941,Mk10,06:24:55 13-Oct-2016,Argos,B,52.7483,173.8976,982,13590,71,67,,,,,,
PV2016_3024_15A0909,160941,Mk10,06:31:45 13-Oct-2016,Argos,B,52.7579,173.8891,11296,24901,5124,78,,,,,,
PV2016_3024_15A0909,160941,Mk10,08:03:52 13-Oct-2016,Argos,B,52.7479,173.9007,955,5137,177,11,,,,,,
PV2016_3024_15A0909,160941,Mk10,09:43:13 13-Oct-2016,Argos,B,52.7511,173.9074,971,32639,28,89,,,,,,
PV2016_3024_15A0909,160941,Mk10,09:29:50 14-Oct-2016,Argos,A,52.7484,173.9009,547,9962,30,70,,,,,,
PV2016_3024_15A0909,160941,Mk10,15:30:44 14-Oct-2016,Argos,3,52.7508,173.9145,130,445,38,90,,,,,,
PV2016_3024_15A0909,160941,Mk10,17:15:23 14-Oct-2016,Argos,B,52.7512,173.9197,1264,2668,598,88,,,,,,
PV2016_3024_15A0909,160941,Mk10,18:19:05 14-Oct-2016,Argos,B,52.7510,173.9200,1516,3484,659,95,,,,,,
PV2016_3024_15A0909,160941,Mk10,19:36:26 14-Oct-2016,Argos,B,52.7505,173.9179,1473,58357,37,101,,,,,,
PV2016_3024_15A0909,160941,Mk10,19:54:38 14-Oct-2016,Argos,A,52.7505,173.9153,165,285,95,74,,,,,,
PV2016_3024_15A0909,160941,Mk10,01:22:05 15-Oct-2016,Argos,B,52.7356,173.9025,1383,14087,135,46,,,,,,
PV2016_3024_15A0909,160941,Mk10,04:03:07 15-Oct-2016,Argos,A,52.7510,173.8904,515,2313,114,45,,,,,,
PV2016_3024_15A0909,160941,Mk10,05:22:18 15-Oct-2016,Argos,2,52.7493,173.8957,274,1251,59,81,,,,,,
PV2016_3024_15A0909,160941,Mk10,05:23:04 15-Oct-2016,Argos,A,52.7489,173.8966,322,771,134,81,,,,,,
PV2016_3024_15A0909,160941,Mk10,05:44:34 15-Oct-2016,Argos,1,52.7567,173.9395,1445,23051,90,82,,,,,,
PV2016_3024_15A0909,160941,Mk10,06:58:47 15-Oct-2016,Argos,A,52.7478,173.9578,2998,43664,205,93,,,,,,
PV2016_3024_15A0909,160941,Mk10,08:13:13 15-Oct-2016,Argos,B,52.7527,173.9451,3538,8268,1513,87,,,,,,
PV2016_3024_15A0909,160941,Mk10,08:41:24 15-Oct-2016,Argos,B,52.7526,173.9427,2659,7468,946,86,,,,,,
PV2016_3024_15A0909,160941,Mk10,09:08:14 15-Oct-2016,Argos,A,52.7454,173.8933,1384,33493,57,81,,,,,,
PV2016_3024_15A0909,160941,Mk10,09:49:33 15-Oct-2016,Argos,B,52.7453,173.8854,2034,5405,765,81,,,,,,
PV2016_3024_15A0909,160941,Mk10,18:41:03 17-Oct-2016,Argos,B,52.7041,173.8402,5188,103591,259,173,,,,,,
PV2016_3024_15A0909,160941,Mk10,18:58:54 17-Oct-2016,Argos,A,52.7332,173.8659,288,989,83,122,,,,,,
PV2016_3024_15A0909,160941,Mk10,19:03:09 17-Oct-2016,Argos,B,52.7422,173.8560,519,4938,54,109,,,,,,
PV2016_3024_15A0909,160941,Mk10,21:14:59 17-Oct-2016,Argos,3,52.7509,173.9170,151,281,81,98,,,,,,
PV2016_3024_15A0909,160941,Mk10,21:58:01 17-Oct-2016,Argos,B,52.7514,173.9183,896,1450,554,91,,,,,,
PV2016_3024_15A0909,160941,Mk10,22:12:38 17-Oct-2016,Argos,A,52.7508,173.9078,183,1273,26,97,,,,,,
PV2016_3024_15A0909,160941,Mk10,22:18:34 17-Oct-2016,Argos,B,52.7509,173.9073,381,719,201,92,,,,,,
PV2016_3024_15A0909,160941,Mk10,22:57:45 17-Oct-2016,Argos,B,52.7539,173.9088,1581,44213,56,111,,,,,,
PV2016_3024_15A0909,160941,Mk10,02:25:01 18-Oct-2016,Argos,A,52.7636,173.9747,1566,61489,39,78,,,,,,
PV2016_3024_15A0909,160941,Mk10,04:28:09 18-Oct-2016,Argos,A,52.7482,173.9108,249,517,120,33,,,,,,
PV2016_3024_15A0909,160941,Mk10,04:52:25 18-Oct-2016,Argos,B,52.7492,173.9129,524,1300,211,9,,,,,,
PV2016_3024_15A0909,160941,Mk10,06:03:59 18-Oct-2016,Argos,1,52.7563,173.9375,1070,15908,72,74,,,,,,
PV2016_3024_15A0909,160941,Mk10,06:34:22 18-Oct-2016,Argos,B,52.7386,173.9314,1556,3552,681,84,,,,,,
PV2016_3024_15A0909,160941,Mk10,08:05:31 18-Oct-2016,Argos,B,52.7249,173.9261,2347,3802,1449,86,,,,,,
PV2016_3024_15A0909,160941,Mk10,08:45:59 18-Oct-2016,Argos,2,52.7488,173.9128,442,1748,111,67,,,,,,
PV2016_3024_15A0909,160941,Mk10,08:50:24 18-Oct-2016,Argos,3,52.7476,173.9171,181,272,120,95,,,,,,
PV2016_3024_15A0909,160941,Mk10,14:41:08 18-Oct-2016,Argos,2,52.7482,173.9092,264,426,164,133,,,,,,
PV2016_3024_15A0909,160941,Mk10,02:13:14 19-Oct-2016,Argos,1,52.7482,173.8937,1122,15762,79,78,,,,,,
PV2016_3024_15A0909,160941,Mk10,02:26:14 19-Oct-2016,Argos,B,52.7481,173.8933,1980,3891,1007,84,,,,,,
PV2016_3024_15A0909,160941,Mk10,06:47:22 19-Oct-2016,Argos,B,52.7767,173.8750,6520,12525,3393,84,,,,,,
PV2016_3024_15A0909,160941,Mk10,02:02:09 20-Oct-2016,Argos,B,52.8465,173.7799,13912,23309,8303,91,,,,,,Lat > 4 deviations from mean
PV2016_3024_15A0909,160941,Mk10,08:05:44 20-Oct-2016,Argos,B,52.7193,173.8725,4789,16523,1388,90,,,,,,
PV2016_3024_15A0909,160941,Mk10,04:12:55 21-Oct-2016,Argos,2,52.7564,173.9022,300,414,217,96,,,,,,
PV2016_3024_15A0909,160941,Mk10,04:52:07 21-Oct-2016,Argos,B,52.7507,173.9037,1552,15487,155,74,,,,,,
PV2016_3024_15A0909,160941,Mk10,05:58:51 21-Oct-2016,Argos,1,52.7502,173.8966,814,35079,18,80,,,,,,
PV2016_3024_15A0909,160941,Mk10,06:30:42 21-Oct-2016,Argos,B,52.7607,173.8696,3347,6292,1780,79,,,,,,
PV2016_3024_15A0909,160941,Mk10,08:42:44 21-Oct-2016,Argos,0,52.8249,174.0370,10162,35205,2933,71,,,,,,Lat > 4 deviations from mean
PV2016_3024_15A0909,160941,Mk10,08:51:39 21-Oct-2016,Argos,1,52.7428,173.9299,1306,3559,479,83,,,,,,
PV2016_3024_15A0909,160941,Mk10,09:30:51 21-Oct-2016,Argos,3,52.7484,173.8950,138,606,31,79,,,,,,
PV2016_3024_15A0909,160941,Mk10,15:18:55 21-Oct-2016,Argos,B,52.7844,173.8683,2289,4492,1166,81,,,,,,
PV2016_3024_15A0909,160941,Mk10,16:57:45 21-Oct-2016,Argos,2,52.7482,173.8976,334,773,144,57,,,,,,
PV2016_3024_15A0909,160941,Mk10,08:42:28 23-Oct-2016,Argos,B,52.7135,173.9732,8256,838482,81,84,,,,,,
PV2016_3024_15A0909,160941,Mk10,17:41:20 23-Oct-2016,Argos,B,52.7029,173.9551,8543,30759,2372,85,,,,,,
PV2016_3024_15A0909,160941,Mk10,17:48:00 23-Oct-2016,Argos,B,52.7166,173.8720,4396,14916,1295,76,,,,,,
PV2016_3024_15A0909,160941,Mk10,17:48:00 23-Oct-2016,Argos,B,52.7128,173.8647,4237,14250,1259,77,,,,,,
PV2016_3024_15A0909,160941,Mk10,21:07:37 23-Oct-2016,Argos,B,52.7018,173.7669,3270,5845,1829,62,,,,,,
PV2016_3024_15A0909,160941,Mk10,21:07:37 23-Oct-2016,Argos,B,52.7019,173.7424,2672,52063,137,35,,,,,,
PV2016_3024_15A0909,160941,Mk10,22:37:58 23-Oct-2016,Argos,A,52.7242,173.7687,551,10483,29,102,,,,,,
